row_index,review,clean_review,lexicon_score,positive_terms,negative_terms,positive_score,negative_score,likely_issue_type,evidence_pattern,reason
640,"tolonglah kalau untuk yang mau daftar di jakeone diberikan kemudahan, udah isi tinggal nunggu kode otp blm dikirim kirim. saya sebagai pengguna sangat kesusahan dengan adanya akses masuk ke jakeone",tolonglah daftar jakeone diberikan kemudahan udah isi tinggal nunggu kode otp belum dikirim kirim pengguna kesusahan akses masuk jakeone,0.0,daftar:1; kemudahan:3; isi:2; tinggal:1; nunggu:1; kirim:2; pengguna:1; akses:2,kode:-3; dikirim:-2; kesusahan:-5; masuk:-3,13.0,-13.0,ambiguous,,
650,Keren,keren,0.0,,,0.0,0.0,likely_positive,keren,positive pattern in neutral score zero row
679,Aplikasi sangat bagus dan perlu dikasih bintang 10 kalo bisa josshtt,aplikasi bagus dikasih bintang 10 bisa josshtt,0.0,bagus:2; dikasih:2,aplikasi:-4,4.0,-4.0,likely_positive,bagus,positive pattern in neutral score zero row
681,fitur-fitur diaplikasi Jakone keren baget,fitur fitur diaplikasi jakone keren baget,0.0,,,0.0,0.0,likely_positive,keren,positive pattern in neutral score zero row
691,Aplikasi m banking super lemot,aplikasi m banking super lambat,0.0,super:3; lambat:1,aplikasi:-4,4.0,-4.0,likely_negative,lemot; lambat,negative pattern in neutral score zero row
693,keren,keren,0.0,,,0.0,0.0,likely_positive,keren,positive pattern in neutral score zero row
695,it's the best virtual bank,it s the best virtual bank,0.0,,,0.0,0.0,ambiguous,,
701,Recommended 😍,recommended,0.0,,,0.0,0.0,likely_positive,recommended,positive pattern in neutral score zero row
703,Kenapa kode OTP tidak pernah masuk Susah sekali untuk menerima kode otp nya Tolong min berikan sosuli Kalau dapat solusi saya kasih bintang lima untuk sementara bintang dua dulu,kenapa kode otp tidak masuk susah menerima kode otp nya tolong min berikan sosuli solusi kasih bintang bintang,0.0,masuk:3; menerima:3; tolong:3; solusi:3; kasih:2,kode:-3; tidak:-5; susah:-3; kode:-3,14.0,-14.0,likely_negative,otp tidak masuk; kode otp tidak masuk,negative pattern in neutral score zero row
714,Kenapa ya pas mau masuk jackone saat verifikasi wajah gagal terus,kenapa ya pas masuk jackone verifikasi wajah gagal,0.0,ya:4; pas:3,masuk:-3; gagal:-4,7.0,-7.0,ambiguous,,
720,penting buat ngecek kjp anak,penting ngecek kjp anak,0.0,penting:3,anak:-3,3.0,-3.0,ambiguous,,
721,"Terbantu sama apk ini , jadi gamoang transaksi",terbantu aplikasi gamoang transaksi,0.0,transaksi:4,aplikasi:-4,4.0,-4.0,ambiguous,,
753,Sangat baguss,baguss,0.0,,,0.0,0.0,likely_positive,bagus,positive pattern in neutral score zero row
773,mantul banget jokone mobile pembayaran mobile terbarau paling mudah dan di jamin aman.,mantul banget jokone mobile pembayaran mobile terbarau mudah jamin aman,0.0,banget:1; mudah:4,jamin:-5,5.0,-5.0,ambiguous,,
778,Loading lama,loading,0.0,,,0.0,0.0,ambiguous,,
781,"Parah sangat mengecewakan, selama libur lebaran sampai hr ini selesai cuti bersama lebaran pun masih maintenance, banyak menu hilang seperti trf bi fast, ewallet dana ovo gopay shopee, bahkan qris pun selalu gagal. tarik tunai di atm bersama jg tidak bisa. hallooo parah banget, sudah lebih dari seminggu lho ini...",parah mengecewakan selama libur lebaran hr selesai cuti lebaran maintenance menu hilang trf bi fast ewallet dana ovo gopay shopee bahkan qris gagal tarik tunai atm jg tidak bisa hallooo parah banget lebih seminggu lho,0.0,libur:3; selesai:2; cuti:3; hilang:3; dana:4; tarik:2; tunai:3; banget:1; lebih:1,parah:-5; mengecewakan:-3; gagal:-4; tidak:-5; parah:-5,22.0,-22.0,likely_negative,parah,negative pattern in neutral score zero row
782,makin kesini makin kesana...payah,kesini kesana payah,0.0,,,0.0,0.0,likely_negative,payah,negative pattern in neutral score zero row
783,keren lo.,keren lo,0.0,,,0.0,0.0,likely_positive,keren,positive pattern in neutral score zero row
817,Kapan neh mau diperbaiki? Udah lama loh...,kapan neh diperbaiki udah loh,0.0,,,0.0,0.0,ambiguous,,
819,Kereeeen.....,kereeeen,0.0,,,0.0,0.0,ambiguous,,
820,Ada banyak benefit gratis untuk aplikasi ini mendapatkan reward Rp600 saat mendaftar,benefit gratis aplikasi mendapatkan reward rp600 mendaftar,0.0,gratis:4,aplikasi:-4,4.0,-4.0,ambiguous,,
835,aman dan mantab,aman mantab,0.0,,,0.0,0.0,ambiguous,,
841,Mantaaap Bank DKI....,mantaaap bank dki,0.0,,,0.0,0.0,ambiguous,,
845,"mbanking errorr, sedang dibutuhkan tetapi offline berhari2",mbanking errorr dibutuhkan offline berhari2,0.0,,,0.0,0.0,likely_negative,error,negative pattern in neutral score zero row
851,Ngk bisa dipakai,ngk bisa dipakai,0.0,,,0.0,0.0,ambiguous,,
853,"Tiba tiba suruh upgrade, padahal udah pake yang terbaru, tapi di klik upgrade gak bisa bisa selama seminggu, ahirnya uninstall dan download ulang, lupa pass dll, bikin kerjaan aja mesti ke bank langsung !",tiba tiba suruh upgrade padahal udah pakai terbaru klik upgrade tidak bisa bisa selama seminggu ahirnya uninstall download ulang lupa pass dll bikin kerjaan mesti bank langsung,0.0,terbaru:4; lupa:1; kerjaan:2; langsung:3,suruh:-2; tidak:-5; mesti:-3,10.0,-10.0,ambiguous,,
862,Bsgus,bsgus,0.0,,,0.0,0.0,ambiguous,,
883,Sangat membatu dalam usaha saya... the best dan recommended banget lah ini aplikasi,membatu usaha the best recommended banget aplikasi,0.0,membatu:2; usaha:1; banget:1,aplikasi:-4,4.0,-4.0,likely_positive,recommended,positive pattern in neutral score zero row
902,"Registrasi app Jakone mobile mudah,dan Tampilan aplikasinya modern",registrasi aplikasi jakone mobile mudah tampilan aplikasi modern,0.0,mudah:4; tampilan:1; modern:3,aplikasi:-4; aplikasi:-4,8.0,-8.0,ambiguous,,
911,Keren,keren,0.0,,,0.0,0.0,likely_positive,keren,positive pattern in neutral score zero row
917,GG CIM,gg cim,0.0,,,0.0,0.0,ambiguous,,
979,Gunta gati sistem aja loh jekOne harus perbaharuan atau apa lah. Kalau mau bikin nasabah enak jangan kaya gini caranya dodol,gunta gati sistem loh jekone perbaharuan bikin nasabah enak jangan kaya gini caranya dodol,0.0,nasabah:4; enak:5,sistem:-4; jangan:-3; kaya:-2,9.0,-9.0,ambiguous,,
1008,"Aplikasi sangat lambat padahal internet normal, untuk verifikasi wajah selalu lama respon nya",aplikasi lambat padahal internet normal verifikasi wajah respon nya,0.0,lambat:1; normal:1; respon:2,aplikasi:-4,4.0,-4.0,likely_negative,lambat,negative pattern in neutral score zero row
1021,Saya daftar kenapa otp nya ngga muncul,daftar kenapa otp nya ngga muncul,0.0,daftar:1; muncul:1,ngga:-2,2.0,-2.0,ambiguous,,
1022,Untuk mengetahui mail d mna,mengetahui mail d mna,0.0,,,0.0,0.0,ambiguous,,
1023,Nitik,nitik,0.0,,,0.0,0.0,ambiguous,,
1029,"Ini gimana loginnya sih, aplikasi kok lucu amat, sudah ada rekening tapi di arahkan ke daftar rekening baru, di isi data dilanjut lah udah terdaftar.. terus saya gimana loginnya... cape amat ama aplikasi ini",gimana login sih aplikasi kok lucu amat rekening arahkan daftar rekening isi data dilanjut udah terdaftar gimana login cape amat ama aplikasi,0.0,lucu:3; amat:4; daftar:1; isi:2; terdaftar:1; amat:4,aplikasi:-4; data:-3; cape:-4; aplikasi:-4,15.0,-15.0,ambiguous,,
1036,"Aplikasi Mudah di gunakan! Aplikasi Cepat, tampilan nya user friendly aman dan terpercaya.",aplikasi mudah gunakan aplikasi cepat tampilan nya user friendly aman terpercaya,0.0,mudah:4; cepat:3; tampilan:1,aplikasi:-4; aplikasi:-4,8.0,-8.0,likely_positive,aplikasi mudah; cepat,positive pattern in neutral score zero row
1037,kapan bisa untuk transfer antar bank,kapan bisa transfer antar bank,0.0,,,0.0,0.0,ambiguous,,
1041,mantapp..,mantapp,0.0,,,0.0,0.0,likely_positive,mantap,positive pattern in neutral score zero row
1048,Cukup kah 5 bintang,kah 5 bintang,0.0,,,0.0,0.0,ambiguous,,
1056,Aplikasi JakOne Mobile sangat mudah dipahami dari vitur2 aplikasinya dah viturnyapun sangat menarik bagus banget.,aplikasi jakone mobile mudah dipahami vitur2 aplikasi dah viturnyapun menarik bagus banget,0.0,mudah:4; menarik:4; bagus:2; banget:1,aplikasi:-4; aplikasi:-4; dah:-3,11.0,-11.0,likely_positive,bagus,positive pattern in neutral score zero row
1057,"Aplikasi yang bagus, memudahkan kita banget untuk transaksi online. Kalo mager keluar juga bisa buat bayar tagihan PLN, beli pulsa dan paket data juga",aplikasi bagus memudahkan kita banget transaksi online mager keluar bisa bayar tagihan pln beli pulsa paket data,0.0,bagus:2; memudahkan:3; banget:1; transaksi:4; bayar:1; beli:2; paket:4,aplikasi:-4; mager:-4; keluar:-3; pulsa:-3; data:-3,17.0,-17.0,likely_positive,bagus; memudahkan,positive pattern in neutral score zero row
1071,Knapa sering di update ?,knapa update,0.0,,,0.0,0.0,ambiguous,,
1074,Bagaimana cara membuka user id terkunci?,membuka user id terkunci,0.0,,,0.0,0.0,ambiguous,,
1100,bank DKI propesional,bank dki propesional,0.0,,,0.0,0.0,ambiguous,,
1116,Maaciw,maaciw,0.0,,,0.0,0.0,ambiguous,,
1121,tambahin shopee pay dong di fitur e-wallet,tambahin shopee pay fitur e wallet,0.0,,,0.0,0.0,ambiguous,,
1129,Apk yang sangat baik mudah d mngerti,aplikasi mudah d mngerti,0.0,mudah:4,aplikasi:-4,4.0,-4.0,likely_positive,aplikasi mudah,positive pattern in neutral score zero row
1132,Semoga aplikasi jakone mobile baru ini lebih mempermudah transaksi melalui handphone. Go to less cash. 👍🏻,semoga aplikasi jakone mobile lebih mempermudah transaksi handphone go to less cash,0.0,lebih:1; transaksi:4; cash:2,aplikasi:-4; mempermudah:-3,7.0,-7.0,ambiguous,,
1137,Bagusss,bagusss,0.0,,,0.0,0.0,likely_positive,bagus,positive pattern in neutral score zero row
1142,User terkunci cara membukanya gimana ?,user terkunci membukanya gimana,0.0,,,0.0,0.0,ambiguous,,
1154,Mau nukar point' harus pemeliharaan saya harus begimana,nukar point pemeliharaan begimana,0.0,,,0.0,0.0,ambiguous,,
1184,Kalo sdh terkunci buka nya susah 😔😔😔😔😔😔😔,terkunci buka nya susah,0.0,buka:3,susah:-3,3.0,-3.0,ambiguous,,
1193,Mantaps,mantaps,0.0,,,0.0,0.0,likely_positive,mantap,positive pattern in neutral score zero row
1202,Kerenn👍👍,kerenn,0.0,,,0.0,0.0,likely_positive,keren,positive pattern in neutral score zero row
1219,Semenjak Pembaharuan Semakin Joss Gandos,semenjak pembaharuan joss gandos,0.0,,,0.0,0.0,ambiguous,,
1227,Jackone loading lama bnerrr,jackone loading bnerrr,0.0,,,0.0,0.0,ambiguous,,
1255,Mantaap..,mantaap,0.0,,,0.0,0.0,ambiguous,,
1259,Aku sih Yeesss,sih yeesss,0.0,,,0.0,0.0,ambiguous,,
1311,Semoga bank DKI maju dan berkembang.,semoga bank dki maju berkembang,0.0,,,0.0,0.0,ambiguous,,
1324,Makin kesini makin kesana 😄,kesini kesana,0.0,,,0.0,0.0,ambiguous,,
1330,Jakone Mobile apk yang bagus untuk kamu coba,jakone mobile aplikasi bagus coba,0.0,bagus:2; coba:2,aplikasi:-4,4.0,-4.0,likely_positive,bagus,positive pattern in neutral score zero row
1335,terbaikk,terbaikk,0.0,,,0.0,0.0,likely_positive,terbaik,positive pattern in neutral score zero row
1366,Keren,keren,0.0,,,0.0,0.0,likely_positive,keren,positive pattern in neutral score zero row
1379,Baguss,baguss,0.0,,,0.0,0.0,likely_positive,bagus,positive pattern in neutral score zero row
1400,tolong layanan bi fast nya yang 2500 diadakan lagi seperti Bank lain jadi gak mahal untuk transfer klo perlu diadain kuota free 10x transfer perbulan ke bank lain... karena Bank nya cuma ada di jakarta biar konsumen tidak susah,tolong layanan bi fast nya 2500 diadakan bank tidak mahal transfer klo diadain kuota free 10x transfer perbulan bank bank nya jakarta biar konsumen tidak susah,0.0,tolong:3; layanan:3; free:3; biar:1; susah:3,tidak:-5; mahal:-1; kuota:-2; tidak:-5,13.0,-13.0,ambiguous,,
1407,Dikit2 update bikin maless,dikit2 update bikin maless,0.0,,,0.0,0.0,ambiguous,,
1408,Kenapa ngk bisa kek Jakone mobile dki,kenapa ngk bisa kek jakone mobile dki,0.0,,,0.0,0.0,ambiguous,,
1418,siiipppppp,siiipppppp,0.0,,,0.0,0.0,ambiguous,,
1422,Keren masih optimal,keren optimal,0.0,,,0.0,0.0,likely_positive,keren,positive pattern in neutral score zero row
1423,Kenapa susah login si padahal saya sudah punya rekening dari jackone yg lama selalu ada kesalah mulu sampe pulsa abis,kenapa susah login si padahal punya rekening jackone kesalah mulu sampe pulsa abis,0.0,punya:3; mulu:2; abis:1,susah:-3; pulsa:-3,6.0,-6.0,ambiguous,,
1427,sering service offline,service offline,0.0,,,0.0,0.0,ambiguous,,
1446,Aplikasi sangat membantu,aplikasi membantu,0.0,membantu:4,aplikasi:-4,4.0,-4.0,likely_positive,sangat membantu,positive pattern in neutral score zero row
1453,Mungkin bisa tambahkan costumer service,bisa tambahkan costumer service,0.0,,,0.0,0.0,ambiguous,,
1487,Aplikasi multi fungsi dan mudah digunakan,aplikasi multi fungsi mudah digunakan,0.0,mudah:4,aplikasi:-4,4.0,-4.0,likely_positive,mudah digunakan,positive pattern in neutral score zero row
1493,Sementara belum ada kata kata...,belum,0.0,,,0.0,0.0,ambiguous,,
1509,Sangattt baguss,sangattt baguss,0.0,,,0.0,0.0,likely_positive,bagus,positive pattern in neutral score zero row
1512,no bug and easy to use,no bug and easy to use,0.0,,,0.0,0.0,ambiguous,,
1515,Update meleeeeee tiap bbrp bln..,update meleeeeee bbrp bln,0.0,,,0.0,0.0,ambiguous,,
1523,Mantaaaap,mantaaaap,0.0,,,0.0,0.0,ambiguous,,
1533,Aplikasi semakin menarik dan inovatif.Keren Bank DKI,aplikasi menarik inovatif keren bank dki,0.0,menarik:4,aplikasi:-4,4.0,-4.0,likely_positive,keren,positive pattern in neutral score zero row
1542,Bayar tagihan jadi mudah dan bisa dimana aja kapan aja bisa sejak ada JakOne mobile gak kepikiran lagi sekarang...,bayar tagihan mudah bisa dimana kapan bisa jakone mobile tidak kepikiran,0.0,bayar:1; mudah:4,tidak:-5,5.0,-5.0,ambiguous,,
1549,Bank DKI adalah bank daerah yang kondisi keuangannya baik,bank dki bank daerah kondisi keuangannya,0.0,,,0.0,0.0,ambiguous,,
1569,Semoga tambah baik lg dah,semoga tambah lg dah,0.0,tambah:3,dah:-3,3.0,-3.0,ambiguous,,
1581,lawak,lawak,0.0,,,0.0,0.0,ambiguous,,
1589,"Makin mantab, makin lengkab.. !! 👍",mantab lengkab,0.0,,,0.0,0.0,ambiguous,,
1608,Aplikasi ini terlalu sering update tapi tambah lemot,aplikasi update tambah lambat,0.0,tambah:3; lambat:1,aplikasi:-4,4.0,-4.0,likely_negative,lemot; lambat,negative pattern in neutral score zero row
1618,min perbaiki menu tuk transfe ke bank lain,min perbaiki menu tuk transfe bank,0.0,,,0.0,0.0,ambiguous,,
1641,Sering keblokir,keblokir,0.0,,,0.0,0.0,ambiguous,,
1661,Aplikasi yang serbaguna dan mudah dipahami,aplikasi serbaguna mudah dipahami,0.0,mudah:4,aplikasi:-4,4.0,-4.0,ambiguous,,
1667,Maintenance fiturnya,maintenance fiturnya,0.0,,,0.0,0.0,ambiguous,,
1670,Rehrrsxx,rehrrsxx,0.0,,,0.0,0.0,ambiguous,,
1698,Untuk update saja loading terus,update loading,0.0,,,0.0,0.0,ambiguous,,
1738,Jakone mobile bank dki makin keren 🥰,jakone mobile bank dki keren,0.0,,,0.0,0.0,likely_positive,keren,positive pattern in neutral score zero row
1747,Keren,keren,0.0,,,0.0,0.0,likely_positive,keren,positive pattern in neutral score zero row
1751,cuman nyari keuntungan dari download aj sama potongan otp,cuman nyari keuntungan download aj potongan otp,0.0,keuntungan:4,nyari:-2; potongan:-2,4.0,-4.0,ambiguous,,
1763,"Ganti aplikasi baru malah Ribed, ngisi data ulang,kalau memang data ada yg berubah pasti nasabah dateng ke Bank,kalau ribed kaya gini mending pakai aplikasi yang lama,udah jelas gak ribed hanya isi email,no rek,no hp,nama,pin,langsung bisa dipakai,nah ini yg baru malah bertele harus ngisi data lagi.kalau mau ganti aplikasi tuh yg praktis,jangan bikin ribed registrasinya.",ganti aplikasi ribed ngisi data ulang data berubah pasti nasabah dateng bank ribed kaya gini mending pakai aplikasi udah jelas tidak ribed isi email no rek no hp nama pin langsung bisa dipakai nah bertele ngisi data ganti aplikasi tuh praktis jangan bikin ribed registrasinya,0.0,ganti:3; pasti:3; nasabah:4; dateng:2; kaya:2; mending:2; jelas:1; isi:2; langsung:3; ganti:3; praktis:4,aplikasi:-4; data:-3; data:-3; aplikasi:-4; tidak:-5; data:-3; aplikasi:-4; jangan:-3,29.0,-29.0,likely_positive,praktis,positive pattern in neutral score zero row
1766,mau beli kuota inyernet kok ngak ada sondcart,beli kuota inyernet kok ngak sondcart,0.0,beli:2,kuota:-2,2.0,-2.0,ambiguous,,
1769,mantabbb,mantabbb,0.0,,,0.0,0.0,ambiguous,,
1770,"Semua fitur kena sunat, tolong kembalikan semua fitur yang di dki lama",fitur kena sunat tolong kembalikan fitur dki,0.0,tolong:3,kena:-3,3.0,-3.0,ambiguous,,
1778,Fiturnya keren,fiturnya keren,0.0,,,0.0,0.0,likely_positive,keren,positive pattern in neutral score zero row
1788,Easy but slure,easy but slure,0.0,,,0.0,0.0,ambiguous,,
1793,Serng lola dan Qris sudah digunakan...,serng lola qris digunakan,0.0,,,0.0,0.0,ambiguous,,
1807,Baguss,baguss,0.0,,,0.0,0.0,likely_positive,bagus,positive pattern in neutral score zero row
1808,Tambahin VA nya dong...,tambahin va nya,0.0,,,0.0,0.0,ambiguous,,
1816,Excellent,excellent,0.0,,,0.0,0.0,ambiguous,,
1817,"Aplikasi nya bagus banget,nggk ribet jadi gampang banget di gunakan",aplikasi nya bagus banget nggk ribet gampang banget gunakan,0.0,bagus:2; banget:1; gampang:4; banget:1,aplikasi:-4; ribet:-4,8.0,-8.0,ambiguous,bagus; ribet,
1820,"Tolong diupgrade lagi aplikasinya, enakan yang versi lama. Soalnya yang terbaru tidak bisa transfer ke bank lain. hanya bisa sesama bank DKI saja. TOLONG KEMBALIKAN FITUR TRANSFER KE BANK LAIN🙏.",tolong diupgrade aplikasi enakan versi soalnya terbaru tidak bisa transfer bank bisa sesama bank dki tolong kembalikan fitur transfer bank,0.0,tolong:3; terbaru:4; tolong:3,aplikasi:-4; soalnya:-1; tidak:-5,10.0,-10.0,ambiguous,,
1852,Kebanyakan update Suka eror,kebanyakan update suka error,0.0,kebanyakan:2; suka:3,error:-5,5.0,-5.0,likely_negative,error; eror,negative pattern in neutral score zero row
1862,Buset...muter2 terus :(,buset muter2,0.0,,,0.0,0.0,ambiguous,,
1889,"Aplikasi mudah di gunakan, Tampilan baru keren, setidaknya aplikasi mampu membantu orang"" dalam mencari informasi tentang jakarta",aplikasi mudah gunakan tampilan keren setidaknya aplikasi membantu orang mencari informasi jakarta,0.0,mudah:4; tampilan:1; membantu:4; informasi:2,aplikasi:-4; aplikasi:-4; mencari:-3,11.0,-11.0,likely_positive,aplikasi mudah; keren,positive pattern in neutral score zero row
1896,Mantapppp,mantapppp,0.0,,,0.0,0.0,likely_positive,mantap,positive pattern in neutral score zero row
1899,Keren,keren,0.0,,,0.0,0.0,likely_positive,keren,positive pattern in neutral score zero row
1910,lama loginnya,login,0.0,,,0.0,0.0,ambiguous,,
