pattern,total_matches,label_positif_count,label_negatif_count,label_netral_count,suspect_non_negative_count,example_correct_negative,example_suspect_non_negative,candidate_action
eror,308,41,255,12,53,review=tiap awal bulan server eror terus payah kali | clean_review=bulan server error payah | lexicon_score=-6.0 | label=negatif,"review=Apk yg mudah di pahami, no eror eror .. gampang bnget jadi bertransaksi... Trimakasih jakone mobile.. sukses selalu | clean_review=aplikasi mudah pahami no error error gampang bnget bertransaksi trimakasih jakone mobile sukses | lexicon_score=4.0 | label=positif",review non-negative labels; high-confidence correction if phrase is central complaint
lemot,439,192,229,18,210,"review=Aplikasi mobile banking peringkat terbawah, terlemot sepanjang hayat, khusus gaji lewat / bantuan pemda saja, bagi yg mau nabung harap berfikir berkali2, semoga tim IT / pengembang aplikasi diganti, agar mengembalikan ra | clean_review=aplikasi mobile banking peringkat terbawah terlemot sepanjang hayat gaji bantuan pemda nabung harap berfikir berkali2 semoga tim it pengembang aplikasi diganti mengembalikan rasa percaya masyarakat terhadap bank dki | lexicon_score=-6.0 | label=negatif",review=Naman dan lancar memakai JakOne Mobile. Banyak manfaatnya... transaksi apapun mudah praktis. Aplikasinya Oke banget gak lemot. | clean_review=naman lancar memakai jakone mobile manfaatnya transaksi apapun mudah praktis aplikasi oke banget tidak lambat | lexicon_score=12.0 | label=positif,review non-negative labels; high-confidence correction if phrase is central complaint
lambat,449,196,235,18,214,"review=Sipaling lemot ini aplikasi. Loading kaga rapih², ujung ujungnya suruh priksa jaringan internet. Ngaco banget ini aplikasi. Parah banget parah, sipaling parah ini aplikasi. Dari bare 30 % ampe mati nih hp kehabisan batre | clean_review=sipaling lambat aplikasi loading kaga rapih ujung ujungnya suruh priksa jaringan internet ngaco banget aplikasi parah banget parah sipaling parah aplikasi bare 30 ampe mati nih hp kehabisan batre loding | lexicon_score=-22.0 | label=negatif",review=Naman dan lancar memakai JakOne Mobile. Banyak manfaatnya... transaksi apapun mudah praktis. Aplikasinya Oke banget gak lemot. | clean_review=naman lancar memakai jakone mobile manfaatnya transaksi apapun mudah praktis aplikasi oke banget tidak lambat | lexicon_score=12.0 | label=positif,review non-negative labels; high-confidence correction if phrase is central complaint
crash,2,1,1,0,1,review=Apk nya sering ngecrash gk jelas | clean_review=aplikasi nya ngecrash tidak jelas | lexicon_score=-10.0 | label=negatif,"review=Saya pakai aplikasi ini buat kebutuhan harian dan hasilnya memuaskan. UI-nya rapi, performanya stabil, dan nggak ada crash selama dipakai. Semoga ke depannya ada peningkatan fitur biar lebih lengkap lagi. | clean_review=pakai aplikasi kebutuhan harian hasilnya memuaskan ui nya rapi performanya stabil tidak crash selama dipakai semoga depannya peningkatan fitur biar lebih lengkap | lexicon_score=14.0 | label=positif",review non-negative labels; high-confidence correction if phrase is central complaint
force close,5,2,3,0,2,"review=Kenapa ya setiap saya masuk ke jak one, force close sendiri. Jadi ga bisa d pake bahkan sebelum cek saldo udah langsung keluar sendiri | clean_review=kenapa ya setiap masuk jak one force close tidak bisa d pakai bahkan cek saldo udah langsung keluar | lexicon_score=-8.0 | label=negatif","review=Setuap mau setting login biometrik, selalu force close. Padahal versi seblumnya lancar aja.Tolong diperbaiki aplikasinya. | clean_review=setuap setting login biometrik force close padahal versi seblumnya lancar tolong diperbaiki aplikasi | lexicon_score=1.0 | label=positif",review non-negative labels; high-confidence correction if phrase is central complaint
susah masuk,41,1,38,2,3,review=susah masuk | clean_review=susah masuk | lexicon_score=-6.0 | label=negatif,review=Jakone yg sekarang terlalu berat..tiap dibuka selalu aja susah masuknya..lebih enak jakone yg lama..enteng+pw nya pun hanya pake angka..tolong dong min..dibuat enteng aplikasinya..🙏🏻😥😪 | clean_review=jakone berat dibuka susah masuknya lebih enak jakone enteng pw nya pakai angka tolong min dibuat enteng aplikasi | lexicon_score=10.0 | label=positif,review non-negative labels; high-confidence correction if phrase is central complaint
sulit login,5,1,3,1,2,"review=Mohon diperbaiki aplikasinya. Karena banyak user yang sulit untuk login. Jaringan sudah bagus, tetapi untuk loading gagal terus. | clean_review=mohon diperbaiki aplikasi user sulit login jaringan bagus loading gagal | lexicon_score=-1.0 | label=negatif","review=Sering bgt muter2 saat mau buka aplikasi,jadi sulit untuk login,pusat bantuan cuma nyalahin jaringan doang,perbaiki seceptnya dong | clean_review=banget muter2 buka aplikasi sulit login pusat bantuan nyalahin jaringan doang perbaiki seceptnya | lexicon_score=3.0 | label=positif",review non-negative labels; high-confidence correction if phrase is central complaint
akun terblokir,0,0,0,0,0,,,review non-negative labels; high-confidence correction if phrase is central complaint
akun diblokir,0,0,0,0,0,,,review non-negative labels; high-confidence correction if phrase is central complaint
pin salah,1,0,1,0,0,"review=Apk sampah, mau QR ajaa pas masukin pin malah salah Ampe diblokir. Pdhl dah coba pake pin baru/pin lama.. jgn fokus amaa duit doang, apk Lo benerin | clean_review=aplikasi sampah qr ajaa pas masukin pin salah ampe diblokir pdhl dah coba pakai pin pin jangan fokus amaa duit doang aplikasi lo benerin | lexicon_score=-19.0 | label=negatif",,review non-negative labels; high-confidence correction if phrase is central complaint
tidak bisa transaksi,50,10,39,1,11,"review=Sejak puasa tidak bisa transaksi mbanking antar bank, Semalam sampai keliling cari ATM akhirnya trf ke bank lain jam 23.05 Struk keluar tapi sampai pagi ini uang tidak diterima bank penerima Ada apa dengan bank DKI,harus | clean_review=puasa tidak bisa transaksi mbanking antar bank semalam keliling cari atm akhirnya trf bank jam 23 05 struk keluar pagi uang tidak diterima bank penerima bank dki harusnya kebanggaan bank warga dki kota kenapa tidak lebih | lexicon_score=-16.0 | label=negatif","review=Tolong segera perbaikan systemnya diselesaikan ,tidak bisa transaksi apapun,payah!!!! | clean_review=tolong segera perbaikan systemnya diselesaikan tidak bisa transaksi apapun payah | lexicon_score=8.0 | label=positif",review non-negative labels; high-confidence correction if phrase is central complaint
kecewa,110,30,77,3,33,review=Parah... Muter muter terus.kga bisa masuk.. Ujung ujungnya keluar lagi. Padahal sinyal bagus. Tp g bisa masuk Mending yang dulu. Sekarang parah... Kecewa Bintang 1 pun ga layak | clean_review=parah muter muter kga bisa masuk ujung ujungnya keluar padahal sinyal bagus tidak bisa masuk mending parah kecewa bintang 1 tidak layak | lexicon_score=-31.0 | label=negatif,"review=kecewa banget, knapa sih transaksi tf ke bank lain kalo gagal kepotong,baliknya juga lama kudu nunggu 3 harian bahkan lebih | clean_review=kecewa banget knapa sih transaksi transfer bank gagal kepotong baliknya kudu nunggu 3 harian bahkan lebih | lexicon_score=3.0 | label=positif",review non-negative labels; high-confidence correction if phrase is central complaint
buruk,188,16,165,7,23,"review=Sering down servernya. Ga bisa login ke aplikasinya. Aplikasi banking terburuk #masih belum bisa login, stuck di logo awal. | clean_review=down servernya tidak bisa login aplikasi aplikasi banking terburuk belum bisa login stuck logo | lexicon_score=-16.0 | label=negatif",review=buruk banget Mauk ke aplikasih tulisan perikasn koneksi internet pake wifi kaya gth pake Kouta pribadi juga hadeeeh | clean_review=buruk banget mauk aplikasih tulisan perikasn koneksi internet pakai wifi kaya gth pakai kouta pribadi hadeeeh | lexicon_score=0.0 | label=netral,review non-negative labels; high-confidence correction if phrase is central complaint
parah,360,37,310,13,50,"review=Parahh apk ga jelas,, muter2 mulu ga bisa digunain,, mo isi token listrik aja,, hedeehh | clean_review=parahh aplikasi tidak jelas muter2 mulu tidak bisa digunain mo isi token listrik hedeehh | lexicon_score=-11.0 | label=negatif",review=Parahh bgt selalu suruh update...terus lemoot bgtzz.. transaksi jadi ribett bgtzz😔😔 tolong systemnya LBH baik lagi | clean_review=parahh banget suruh update lemoot bgtzz transaksi ribett bgtzz tolong systemnya lbh | lexicon_score=6.0 | label=positif,review non-negative labels; high-confidence correction if phrase is central complaint
ribet,789,450,302,37,487,review=Tapi jangan terlalu sering update laaah... Ribet urusannya wkwkw | clean_review=jangan update laaah ribet urusannya wkwkw | lexicon_score=-7.0 | label=negatif,"review=Tampilan baru nya keren , aplikasi jak one juga sangat berguna banget karenakan banyak fitur seperti Bayar pulsa, listrik dan lain lain nya dan gak perlu ribet | clean_review=tampilan nya keren aplikasi jak one berguna banget karenakan fitur bayar pulsa listrik nya tidak ribet | lexicon_score=0.0 | label=netral",review non-negative labels; high-confidence correction if phrase is central complaint
jelek,160,7,149,4,11,review=Aplikasinya jelek mo buka aja susah banget muter2 terus percuma ada aplikasinya klo gx bisa d buka | clean_review=aplikasi jelek mo buka susah banget muter2 percuma aplikasi klo gx bisa d buka | lexicon_score=-5.0 | label=negatif,review=Jelek banget pelayanan Mobile nya masih mending yang lama gak Ribet+ simpel | clean_review=jelek banget pelayanan mobile nya mending tidak ribet simpel | lexicon_score=3.0 | label=positif,review non-negative labels; high-confidence correction if phrase is central complaint
payah,169,34,121,14,48,review=tiap awal bulan server eror terus payah kali | clean_review=bulan server error payah | lexicon_score=-6.0 | label=negatif,review=Internet saya lancar buka. Semua aplikasi lain lancar cuma buka jackone yang disuruh cek internet saya . Payah IT nya | clean_review=internet lancar buka aplikasi lancar buka jackone disuruh cek internet payah it nya | lexicon_score=4.0 | label=positif,review non-negative labels; high-confidence correction if phrase is central complaint
